8,1,1,82,10/14/2019,Washington Nationals,St Louis Cardinals,209.33,0.96,2.75,Bill Miller,221,1.01,3.3,3,6,6,170,171,7,2019,S STRASBURG,Central,Eastern,Monday,19,National League Central,National League East,NL,NL,R,R,J FLAHERTY,Home,-122,183,-1.5
3,2,1,56.8,10/13/2019,Houston Astros,New York Yankees,155.33,1.28,3.88,Cory Blaser,233.67,0.83,2.62,2,5,6,168,169,7.5,2019,J VERLANDER,Eastern,Central,Sunday,20,American League East,American League West,AL,AL,L,R,J PAXTON,Home,-176,115,-1.5
1,3,0,-100,10/12/2019,St Louis Cardinals,Washington Nationals,184.33,1.02,2.93,Chris Conroy,172.67,1.37,4.07,2,6,6,170,169,7,2019,A WAINWRIGHT,Eastern,Central,Saturday,16,National League East,National League Central,NL,NL,R,R,M SCHERZER,Home,118,-151,1.5
0,7,0,-100,10/12/2019,Houston Astros,New York Yankees,184,1.22,4.4,Bill Welke,212.33,0.99,3.26,1,4,5,167,168,8.5,2019,Z GREINKE,Eastern,Central,Saturday,20,American League East,American League West,AL,AL,R,R,M TANAKA,Home,-146,136,-1.5
0,2,0,-100,10/11/2019,St Louis Cardinals,Washington Nationals,171,1.21,3.74,Mike Muchlinski,189,1.21,4.1,1,6,5,169,168,8,2019,M MIKOLAS,Eastern,Central,Friday,20,National League East,National League Central,NL,NL,R,R,A SANCHEZ,Home,-140,150,-1.5
6,1,1,38.6,10/10/2019,Houston Astros,Tampa Bay Rays,65,0.94,1.94,Jerry Meals,220,0.89,2.41,5,5,4,168,167,7,2019,G COLE,Eastern,Central,Thursday,19,American League East,American League West,AL,AL,R,R,T GLASNOW,Home,-259,-120,-1.5
1,13,0,-100,10/9/2019,8,St Louis Cardinals,203.33,0.97,2.79,Tom Hallion,124,1.19,4.28,5,5,5,167,167,8,2019,M FOLTYNEWICZ,Central,Eastern,Wednesday,17,National League Central,National League East,NL,NL,R,R,J FLAHERTY,Home,-103,-182,1.5
3,7,0,-100,10/9/2019,Los Angeles Dodgers,Washington Nationals,215,1,3.27,Alfonso Marquez,188.33,1.02,3.15,5,6,5,168,167,7.5,2019,W BUEHLER,Eastern,Pacific,Wednesday,20,National League East,National League West,NL,NL,R,R,S STRASBURG,Home,-162,134,-1.5
4,1,1,205,10/8/2019,Tampa Bay Rays,Houston Astros,230,0.8,2.5,James Hoye,7.33,1.5,6.14,4,5,6,166,167,7.5,2019,D CASTILLO,Central,Eastern,Tuesday,19,American League West,American League East,AL,AL,R,R,J VERLANDER,Home,205,114,1.5
1,5,0,-100,10/7/2019,Minnesota Twins,New York Yankees,12,1,1.5,Gary Cederstrom,159,1.21,3.51,3,5,5,165,165,9,2019,J ODORIZZI,Eastern,Central,Monday,20,American League East,American League Central,AL,AL,R,R,L SEVERINO,Home,126,-125,1.5
6,1,1,81.3,10/7/2019,Washington Nationals,Los Angeles Dodgers,58.67,1.09,2.45,Doug Eddings,177.33,1.03,2.99,4,6,7,166,167,8,2019,M SCHERZER,Pacific,Eastern,Monday,18,National League West,National League East,NL,NL,L,R,R HILL,Home,-123,170,-1.5
5,4,1,88.5,10/7/2019,St Louis Cardinals,Atlanta Braves,117.33,1.36,3.68,Jim Wolf,174,1.36,3.36,4,6,6,166,166,8,2019,DAK HUDSON,Eastern,Central,Monday,15,National League East,National League Central,NL,NL,L,R,D KEUCHEL,Home,-113,170,-1.5
10,3,1,106,10/7/2019,Tampa Bay Rays,Houston Astros,208.67,0.98,3.06,Mark Wegner,199.67,1.1,2.97,3,5,6,165,166,8,2019,C MORTON,Central,Eastern,Monday,13,American League West,American League East,AL,AL,R,R,Z GREINKE,Home,106,-154,1.5
1,3,0,-100,10/6/2019,St Louis Cardinals,Atlanta Braves,174.67,1.1,2.68,Sam Holbrook,165,1.39,4.25,3,5,5,165,165,8.5,2019,A WAINWRIGHT,Eastern,Central,Sunday,16,National League East,National League Central,NL,NL,R,R,M SOROKA,Home,114,-144,1.5
4,10,0,-100,10/6/2019,Washington Nationals,Los Angeles Dodgers,182.67,1,2.41,Ted Barrett,166,1.21,3.8,3,6,7,165,166,8.5,2019,A SANCHEZ,Pacific,Eastern,Sunday,19,National League West,National League East,NL,NL,L,R,H RYU,Home,150,-112,1.5
8,2,1,56.8,10/5/2019,New York Yankees,Minnesota Twins,19.33,0.93,1.86,Todd Tichenor,179,1.23,4.47,2,6,5,164,164,9.5,2019,M TANAKA,Central,Eastern,Saturday,17,American League Central,American League East,AL,AL,R,R,R DOBNAK,Home,-176,107,-1.5
3,1,1,37.2,10/5/2019,Houston Astros,Tampa Bay Rays,106.67,1.27,4.3,Bruce Dreckman,212.33,0.89,2.5,2,6,6,165,164,7.5,2019,G COLE,Eastern,Central,Saturday,21,American League East,American League West,AL,AL,L,R,B SNELL,Home,-269,-124,-1.5
3,0,1,105,10/4/2019,8,St Louis Cardinals,196.33,0.96,2.75,Alan Porter,117,1.23,4.54,2,6,6,164,164,8,2019,M FOLTYNEWICZ,Central,Eastern,Friday,16,National League Central,National League East,NL,NL,R,R,J FLAHERTY,Home,105,-158,1.5
6,2,1,42.4,10/4/2019,Houston Astros,Tampa Bay Rays,60.67,0.89,1.78,John Tumpane,223,0.8,2.58,1,6,6,164,163,7,2019,J VERLANDER,Eastern,Central,Friday,14,American League East,American League West,AL,AL,R,R,T GLASNOW,Home,-236,-111,-1.5
10,4,1,55.9,10/4/2019,New York Yankees,Minnesota Twins,200.33,1.22,3.68,Manny Gonzalez,150.67,1.28,3.82,1,6,5,163,163,8.5,2019,J PAXTON,Central,Eastern,Friday,19,American League Central,American League East,AL,AL,R,L,J BERRIOS,Home,-179,112,-1.5
2,4,0,-100,10/4/2019,Los Angeles Dodgers,Washington Nationals,209,1.02,3.32,Jordan Baker,177.33,1.05,3.05,2,9,7,165,164,7.5,2019,C KERSHAW,Eastern,Pacific,Friday,21,National League East,National League West,NL,NL,R,L,S STRASBURG,Home,-156,136,-1.5
6,7,0,-100,10/3/2019,8,St Louis Cardinals,184,1.22,4.16,Pat Hoberg,112.67,1.36,3.75,1,6,5,163,163,8.5,2019,D KEUCHEL,Central,Eastern,Thursday,17,National League Central,National League East,NL,NL,R,L,M MIKOLAS,Home,-147,140,-1.5
6,0,1,57.8,10/3/2019,Los Angeles Dodgers,Washington Nationals,202,1.17,3.25,Will Little,182.33,1.04,3.26,1,9,6,164,163,7.5,2019,W BUEHLER,Eastern,Pacific,Thursday,20,National League East,National League West,NL,NL,L,R,P CORBIN,Home,-173,123,-1.5
1,5,0,-100,10/2/2019,Oakland Athletics,Tampa Bay Rays,194.67,1.08,3.05,Chad Fairchild,29.67,0.78,1.21,1,7,7,163,162,8,2019,S MANAEA,Eastern,Pacific,Wednesday,20,American League East,American League West,AL,AL,R,L,C MORTON,Home,-123,167,-1.5
4,3,1,57.5,10/1/2019,Washington Nationals,Milwaukee Brewers,121.67,1.14,3.62,Mike Everitt,172.33,1.02,2.92,1,8,10,163,163,8,2019,M SCHERZER,Central,Eastern,Tuesday,20,National League Central,National League East,NL,NL,R,R,B WOODRUFF,Home,-174,126,-1.5
8,2,1,152,9/29/2019,Washington Nationals,Cleveland Indians,120.33,1.03,2.39,Cory Blaser,38.67,1.53,3.26,3,9,10,162,162,9,2019,J ROSS,Eastern,Eastern,Sunday,15,American League Central,National League East,AL,NL,R,R,M CLEVINGER,Home,152,-110,1.5
5,8,0,-100,9/29/2019,Los Angeles Angels,Houston Astros,207.33,0.89,2.52,Alfonso Marquez,53.67,1.53,5.7,4,8,9,162,162,8.5,2019,D PETERS,Central,Pacific,Sunday,15,American League West,American League West,AL,AL,R,L,G COLE,Home,332,189,1.5
6,1,1,135,9/29/2019,Texas Rangers,New York Yankees,18.33,1.31,3.93,Jordan Baker,201,1.25,3.76,3,8,8,162,162,11,2019,L LYNN,Eastern,Central,Sunday,15,American League East,American League West,AL,AL,R,R,C GREEN,Home,135,-110,1.5
3,1,1,129,9/29/2019,Seattle Mariners,Oakland Athletics,160.33,1.38,4.32,Marvin Hudson,4.67,2.14,3.85,4,8,9,161,162,9,2019,J DUNN,Pacific,Pacific,Sunday,15,American League West,American League West,AL,AL,R,R,T ROARK,Home,129,-121,1.5
7,6,1,87.7,9/29/2019,New York Mets,Atlanta Braves,169.67,1.08,2.6,Alan Porter,190.67,1.23,4.3,3,8,9,162,162,8.5,2019,N SYNDERGAARD,Eastern,Eastern,Sunday,15,National League East,National League East,NL,NL,R,R,M SOROKA,Home,-114,177,-1.5
4,3,1,176,9/29/2019,Colorado Rockies,Milwaukee Brewers,76.67,1.38,4.81,Hal Gibson III,65,1.58,6.78,3,9,8,162,162,13.5,2019,J HOFFMAN,Central,Mountain,Sunday,15,National League Central,National League West,NL,NL,R,R,A HOUSER,Home,176,120,1.5
8,3,1,196,9/29/2019,Toronto Blue Jays,Tampa Bay Rays,104.33,1.25,4.23,Jeff Nelson,54,1.52,7,3,8,9,162,162,8.5,2019,C BUCHHOLZ,Eastern,Eastern,Sunday,15,American League East,American League East,AL,AL,L,R,B SNELL,Home,196,124,1.5
9,0,1,35.8,9/29/2019,St Louis Cardinals,Chicago Cubs,34.67,1.5,6.75,Doug Eddings,189.33,0.98,2.85,3,9,9,162,162,8.5,2019,J FLAHERTY,Central,Central,Sunday,15,National League Central,National League Central,NL,NL,L,R,D HOLLAND,Home,-279,-134,-1.5
5,3,1,71.9,9/29/2019,Chicago White Sox,Detroit Tigers,143,1.45,4.53,Gabe Morales,51.67,1.51,6.1,5,9,8,160,160,10,2019,R DETWILER,Eastern,Central,Sunday,15,American League Central,American League Central,AL,AL,R,L,S TURNBULL,Home,-139,135,-1.5
5,4,1,34.2,9/29/2019,16,Baltimore Orioles,7,1.71,11.57,Mark Ripperger,191.33,1.31,3.76,3,9,10,162,162,10.5,2019,E RODRIGUEZ,Eastern,Eastern,Sunday,15,American League East,American League East,AL,AL,R,L,C SHEPHERD,Home,-292,-153,-1.5
5,4,1,118,9/29/2019,Kansas City Royals,Minnesota Twins,151.33,1.47,4.94,John Libka,80.33,1.53,6.61,3,9,8,162,161,11,2019,J LOPEZ,Central,Central,Sunday,15,American League Central,American League Central,AL,AL,L,R,M PEREZ,Home,118,-128,1.5
0,9,0,-100,9/29/2019,San Francisco Giants,Los Angeles Dodgers,55.67,1.1,2.59,Manny Gonzalez,76.67,1.4,4.93,3,8,9,162,162,8.5,2019,D RODRIGUEZ,Pacific,Pacific,Sunday,15,National League West,National League West,NL,NL,L,R,R HILL,Home,151,-114,1.5
1,3,0,-100,9/29/2019,Pittsburgh Pirates,Cincinnati Reds,124.67,1.34,5.34,Jansen Visconti,138,1.43,5.61,3,8,9,162,162,8.5,2019,T WILLIAMS,Eastern,Eastern,Sunday,15,National League Central,National League Central,NL,NL,R,R,T MAHLE,Home,106,-153,1.5
2,4,0,-100,9/28/2019,Pittsburgh Pirates,Cincinnati Reds,14.67,1.02,6.13,Dan Iassogna,12.33,1.87,10.22,2,8,9,161,161,9,2019,J MARVEL,Eastern,Eastern,Saturday,19,National League Central,National League Central,NL,NL,R,R,L SIMS,Home,129,-133,1.5
4,9,0,-100,9/28/2019,16,Baltimore Orioles,142.33,1.13,3.67,Brian O'Nora,99.67,1.54,5.87,2,9,10,161,161,10.5,2019,J CHACIN,Eastern,Eastern,Saturday,13,American League East,American League East,AL,AL,L,R,J MEANS,Home,-152,121,-1.5
6,5,1,71.9,9/28/2019,15,San Diego Padres,5.33,2.06,11.82,Ryan Additon,168.33,1.3,4.28,2,9,8,161,161,9,2019,R RAY,Pacific,Mountain,Saturday,20,National League West,National League West,NL,NL,R,L,G RICHARDS,Home,-139,140,-1.5
10,7,1,37.5,9/28/2019,Washington Nationals,Cleveland Indians,103.33,1.17,4.01,Bruce Dreckman,197.67,1.15,3.05,2,9,10,161,161,9.5,2019,P CORBIN,Eastern,Eastern,Saturday,16,American League Central,National League East,AL,NL,R,L,A PLUTKO,Home,-267,-134,-1.5
0,2,0,-100,9/28/2019,San Francisco Giants,Los Angeles Dodgers,175.67,1.01,2.51,Roberto Ortiz,33.67,1.51,5.61,2,8,9,161,161,8.5,2019,L WEBB,Pacific,Pacific,Saturday,16,National League West,National League West,NL,NL,L,R,H RYU,Home,185,109,1.5
3,2,1,158,9/28/2019,Colorado Rockies,Milwaukee Brewers,76.33,1.35,4.01,Mark Carlson,52,1.58,5.88,2,9,8,161,161,12.5,2019,C GONZALEZ,Central,Mountain,Saturday,20,National League Central,National League West,NL,NL,L,R,G GONZALEZ,Home,158,103,1.5
3,0,1,94.3,9/28/2019,New York Mets,Atlanta Braves,113,1.24,4.46,Stu Scheurwater,153.33,1.3,4.4,2,8,9,161,161,8,2019,S MATZ,Eastern,Eastern,Saturday,19,National League East,National League East,NL,NL,R,L,M FOLTYNEWICZ,Home,-106,186,-1.5
3,6,0,-100,9/28/2019,Los Angeles Angels,Houston Astros,217,0.81,2.53,Larry Vanover,62,1.61,7.11,3,8,9,161,161,8.5,2019,J SUAREZ,Central,Pacific,Saturday,21,American League West,American League West,AL,AL,R,L,J VERLANDER,Home,374,215,1.5
9,4,1,241,9/28/2019,Texas Rangers,New York Yankees,9,0.78,0,Adrian Johnson,0,0,0,2,8,8,161,161,11,2019,L FARRELL,Eastern,Central,Saturday,20,American League East,American League West,AL,AL,R,R,L SEVERINO,Home,241,156,1.5
9,3,1,54.9,9/28/2019,Philadelphia Phillies,Miami Marlins,150.33,1.18,4.19,Chad Whitson,150,1.34,4.2,2,9,11,161,161,9,2019,Z EFLIN,Eastern,Eastern,Saturday,18,National League East,National League East,NL,NL,L,R,CA SMITH,Home,-182,102,-1.5
0,1,0,-100,9/28/2019,Seattle Mariners,Oakland Athletics,171,1.32,4.11,Ryan Blakney,196,1.31,4.09,3,8,9,160,161,9,2019,M GONZALES,Pacific,Pacific,Saturday,21,American League West,American League West,AL,AL,L,L,B ANDERSON,Home,158,-101,1.5
7,1,1,63.7,9/28/2019,Chicago White Sox,Detroit Tigers,36.67,1.42,4.66,Tom Woodring,176,1.47,4.91,4,9,8,159,159,9.5,2019,I NOVA,Eastern,Central,Saturday,19,American League Central,American League Central,AL,AL,L,R,T ALEXANDER,Home,-157,120,-1.5
7,1,1,77.5,9/28/2019,Chicago White Sox,Detroit Tigers,181.33,1.21,4.57,Jerry Meals,176,1.49,5.57,3,8,7,158,158,9.5,2019,RE LOPEZ,Eastern,Central,Saturday,15,American League Central,American League Central,AL,AL,L,R,M BOYD,Home,-129,138,-1.5
4,1,1,177,9/28/2019,Toronto Blue Jays,Tampa Bay Rays,80.67,0.95,4.24,Tony Randazzo,134.33,1.5,5.23,2,8,9,161,161,9.5,2019,T THORNTON,Eastern,Eastern,Saturday,15,American League East,American League East,AL,AL,L,R,R YARBROUGH,Home,177,115,1.5
6,8,0,-100,9/28/2019,St Louis Cardinals,Chicago Cubs,137.67,1.41,3.92,Fieldin Culbreth,160.67,1.36,4.03,2,9,9,161,161,8.5,2019,A WAINWRIGHT,Central,Central,Saturday,19,National League Central,National League Central,NL,NL,L,R,C HAMELS,Home,-192,108,-1.5
5,4,1,53.5,9/27/2019,Philadelphia Phillies,Miami Marlins,107,1.19,4.96,Chris Conroy,103,1.31,4.81,1,9,11,160,160,9,2019,V VELASQUEZ,Eastern,Eastern,Friday,19,National League East,National League East,NL,NL,R,R,P LOPEZ,Home,-187,102,-1.5
8,2,1,70.9,9/27/2019,Washington Nationals,Cleveland Indians,110.67,1.23,3.82,Joe West,35.33,1.13,3.57,1,9,10,160,160,9.5,2019,A VOTH,Eastern,Eastern,Friday,19,American League Central,National League East,AL,NL,R,R,Z PLESAC,Home,-141,136,-1.5
4,2,1,90.9,9/27/2019,New York Mets,Atlanta Braves,107.67,1.32,3.59,Mark Wegner,178.33,1.31,3.23,1,8,9,160,160,8.5,2019,M STROMAN,Eastern,Eastern,Friday,19,National League East,National League East,NL,NL,L,R,D KEUCHEL,Home,-110,181,-1.5
4,3,1,193,9/27/2019,Seattle Mariners,Oakland Athletics,173.67,1.18,3.83,Chad Fairchild,28,1.64,5.79,2,8,9,159,160,9.5,2019,J SHEFFIELD,Pacific,Pacific,Friday,22,American League West,American League West,AL,AL,R,L,M FIERS,Home,193,121,1.5
6,5,1,137,9/27/2019,Pittsburgh Pirates,Cincinnati Reds,161.67,1.15,3.84,John Tumpane,90.67,1.44,4.76,1,8,9,160,160,8.5,2019,S BRAULT,Eastern,Eastern,Friday,19,National League Central,National League Central,NL,NL,R,L,A DESCLAFANI,Home,137,-121,1.5
7,14,0,-100,9/27/2019,Texas Rangers,New York Yankees,149.67,1.27,3.73,Gary Cederstrom,7.67,2.61,16.43,1,8,8,160,160,11,2019,J PALUMBO,Eastern,Central,Friday,20,American League East,American League West,AL,AL,L,L,J PAXTON,Home,244,157,1.5
2,6,0,-100,9/27/2019,Toronto Blue Jays,Tampa Bay Rays,56.33,0.92,1.92,Lazaro Diaz,8.33,1.56,5.4,1,8,9,160,160,9.5,2019,T ZEUCH,Eastern,Eastern,Friday,19,American League East,American League East,AL,AL,R,R,T GLASNOW,Home,214,136,1.5
2,6,0,-100,9/27/2019,Kansas City Royals,Minnesota Twins,194.33,1.22,3.71,Carlos Torres,13,1.62,6.92,1,9,8,160,159,9.5,2019,E SKOGLUND,Central,Central,Friday,20,American League Central,American League Central,AL,AL,R,L,J BERRIOS,Home,211,140,1.5
0,4,0,-100,9/27/2019,Los Angeles Angels,Houston Astros,28,1.21,5.14,Ben May,31,1.42,5.52,2,8,9,160,160,9.5,2019,P SANDOVAL,Central,Pacific,Friday,22,American League West,American League West,AL,AL,R,L,J URQUIDY,Home,201,124,1.5
2,9,0,-100,9/27/2019,San Francisco Giants,Los Angeles Dodgers,177.33,1.02,3.25,Jim Wolf,14,1,2.57,1,8,9,160,160,8,2019,J CUETO,Pacific,Pacific,Friday,22,National League West,National League West,NL,NL,R,R,W BUEHLER,Home,175,102,1.5
11,7,1,139,9/27/2019,Colorado Rockies,Milwaukee Brewers,154.67,1.31,3.61,Nick Mahrley,118.67,1.71,6.9,1,9,8,160,160,13.5,2019,A SENZATELA,Central,Mountain,Friday,20,National League Central,National League West,NL,NL,R,R,Z DAVIES,Home,139,-107,1.5
6,3,1,76.9,9/27/2019,15,San Diego Padres,143,1.37,4.41,Tim Timmons,61.33,1.53,6.02,1,9,8,160,160,9,2019,T CLARKE,Pacific,Mountain,Friday,21,National League West,National League West,NL,NL,L,R,E LAUER,Home,-130,140,-1.5
1,4,0,-100,9/27/2019,16,Baltimore Orioles,75.67,1.35,5.35,Shane Livensparger,49.33,1.6,6.2,1,9,10,160,160,11,2019,N EOVALDI,Eastern,Eastern,Friday,19,American League East,American League East,AL,AL,R,R,A WOJCIECHOWSKI,Home,-190,-106,-1.5
2,8,0,-100,9/27/2019,St Louis Cardinals,Chicago Cubs,15,1.2,3,Will Little,169,1.37,3.46,1,9,9,160,160,8.5,2019,DAK HUDSON,Central,Central,Friday,20,National League Central,National League Central,NL,NL,R,R,A MILLS,Home,-207,-111,-1.5
4,10,0,-100,9/26/2019,Detroit Tigers,Minnesota Twins,25.67,1.01,3.86,Jeff Nelson,107.67,1.49,6.85,3,9,9,159,157,9.5,2019,J ZIMMERMANN,Central,Eastern,Thursday,13,American League Central,American League Central,AL,AL,L,R,D SMELTZER,Home,120,-128,1.5
0,1,0,-100,9/26/2019,San Diego Padres,Los Angeles Dodgers,171.33,1.07,3.15,Brian Gorman,157.67,1.24,4.28,3,7,9,159,159,8.5,2019,J LUCCHESI,Pacific,Pacific,Thursday,15,National League West,National League West,NL,NL,L,L,C KERSHAW,Home,176,108,1.5
6,3,1,41,9/26/2019,Washington Nationals,Philadelphia Phillies,144.33,1.3,4.18,Victor Carapazza,203,1.03,3.37,5,10,10,159,159,9.5,2019,S STRASBURG,Eastern,Eastern,Thursday,16,National League East,National League East,NL,NL,L,R,J VARGAS,Home,-244,-121,-1.5
3,5,0,-100,9/26/2019,Cincinnati Reds,Milwaukee Brewers,124,1.24,4.28,Doug Eddings,185.33,1.13,3.25,3,9,8,159,159,8,2019,L CASTILLO,Central,Eastern,Thursday,12,National League Central,National League Central,NL,NL,R,R,C ANDERSON,Home,-122,160,-1.5
7,5,1,78.7,9/26/2019,Texas Rangers,Boston Red Sox,3.67,0.54,0,CB Bucknor,199.67,1.22,3.52,3,9,7,159,159,11.5,2019,M MINOR,Eastern,Central,Thursday,14,American League East,American League West,AL,AL,R,L,T LAKINS,Home,-127,147,-1.5
1,3,0,-100,9/26/2019,Seattle Mariners,Oakland Athletics,23.67,0.8,1.14,Angel Hernandez,66.33,1.52,6.51,1,8,8,158,159,9,2019,F HERNANDEZ,Pacific,Pacific,Thursday,22,American League West,American League West,AL,AL,L,R,S MANAEA,Home,209,129,1.5
